CANDIDATE_ID,CONSTITUENCY_ID,PARTY_ID,CANDIDATE_NAME,GENDER
201,1,104,"A NARESH YADAV",MALE
202,1,102,"KANDULA SANDHYARANI",FEMALE
203,1,103,"KORUKANTI CHANDER",MALE
204,1,101,"MAKKAN SINGH RAJTHAKUR",MALE
205,1,105,"SOMARAPU SATYANARAYANA",MALE
206,2,101,"D SRIDHAR BABU",MALE
207,2,102,"C SUNIL REDDY",MALE
208,2,103,"PUTTA MADHUKAR",MALE
209,2,104,"CHALLA NARAYANA REDDY",MALE
210,2,105,"AJEETH KUMAR SAGI",MALE
211,3,105,"B NARESH",MALE
212,3,103,"DASARI MANOHAR REDDY",MALE
213,3,101,"VIJAYA RAMANA RAO",MALE
214,3,104,"DASARI USHA",FEMALE
215,3,102,"PRADEEP KUMAR DUGYALA",MALE
